President	Rank	Freq	Cluster
Obama	1	12	our people
Obama	2	10	our common
Obama	3	10	our nation
Obama	4	7	our citizens
Obama	5	7	our economy
Obama	6	7	our nations
Obama	7	6	our efforts
Obama	8	5	our children
Obama	9	5	our differences
Obama	10	5	our own
Obama	11	5	our two
Obama	12	5	our union
Obama	13	4	our destiny
Obama	14	4	our history
Obama	15	4	our ideals
Obama	16	4	our national
Obama	17	4	our planet
Obama	18	4	our politics
Obama	19	4	our shores
Obama	20	4	our time
Obama	21	3	our actions
Obama	22	3	our borders
Obama	23	3	our founding
Obama	24	3	our future
Obama	25	3	our government
Obama	26	3	our problems
Obama	27	3	our schools
Obama	28	3	our troops
Obama	29	3	our values
Obama	30	2	our ambitions
Obama	31	2	our approach
Obama	32	2	our cause
Obama	33	2	our challenges
Obama	34	2	our combat
Obama	35	2	our commitment
Obama	36	2	our constitution
Obama	37	2	our deficit
Obama	38	2	our democracy
Obama	39	2	our energy
Obama	40	2	our goods
Obama	41	2	our land
Obama	42	2	our laws
Obama	43	2	our liberty
Obama	44	2	our moment
Obama	45	2	our most
Obama	46	2	our power
Obama	47	2	our progress
Obama	48	2	our responsibility
Obama	49	2	our security
Obama	50	2	our spirit
Obama	51	2	our strategic
Obama	52	2	our system
Obama	53	2	our work
Obama	54	2	our workers
Trump	2	11	our people
Trump	3	10	our nation
Trump	4	9	our citizens
Trump	5	7	our military
Trump	6	7	our values
Trump	7	6	our borders
Trump	8	5	our civilization
Trump	9	5	our great
Trump	10	5	our land
Trump	11	5	our own
Trump	12	5	our veterans
Trump	13	4	our allies
Trump	14	4	our interests
Trump	15	4	our plan
Trump	16	3	our adversaries
Trump	17	3	our companies
Trump	18	3	our defense
Trump	19	3	our economy
Trump	20	3	our future
Trump	21	3	our government
Trump	22	3	our jobs
Trump	23	3	our new
Trump	24	3	our partnership
Trump	25	3	our soldiers
Trump	26	3	our trade
Trump	27	3	our wealth
Trump	28	2	our alliance
Trump	29	2	our ancestors
Trump	30	2	our children
Trump	31	2	our community
Trump	32	2	our dreams
Trump	33	2	our fight
Trump	34	2	our flag
Trump	35	2	our freedom
Trump	36	2	our immigration
Trump	37	2	our industries
Trump	38	2	our inner
Trump	39	2	our laws
Trump	40	2	our loyalty
Trump	41	2	our minds
Trump	42	2	our prisons
Trump	43	2	our security
Trump	44	2	our society
Trump	45	2	our souls
Trump	46	2	our sovereignty
Trump	47	2	our success
Trump	48	2	our task
Trump	49	2	our way
Trump	50	2	our will
Trump	51	2	our wonderful
Trump	52	2	our world
