President	Rank	Freq	Cluster
Obama	1	3	my administration
Obama	2	3	my mother
Obama	3	2	my country
Obama	4	2	my desk
Obama	5	2	my first
Obama	6	2	my nation
Obama	7	2	my sister
Obama	8	1	my belief
Obama	9	1	my belt
Obama	10	1	my best
Obama	11	1	my campaign
Obama	12	1	my chief
Obama	13	1	my daughters
Obama	14	1	my debt
Obama	15	1	my deeply
Obama	16	1	my earliest
Obama	17	1	my election
Obama	18	1	my family
Obama	19	1	my father
Obama	20	1	my fellow
Obama	21	1	my grandmother
Obama	22	1	my honor
Obama	23	1	my life
Obama	24	1	my mind
Obama	25	1	my other
Obama	26	1	my own
Obama	27	1	my partner
Obama	28	1	my people
Obama	29	1	my presidency
Obama	30	1	my pursuit
Obama	31	1	my responsibility
Obama	32	1	my secretary
Obama	33	1	my share
Obama	34	1	my understanding
Obama	35	1	my watch
Trump	1	8	my administration
Trump	2	3	my greatest
Trump	3	2	my brother
Trump	4	2	my highest
Trump	5	1	my body
Trump	6	1	my constant
Trump	7	1	my decision
Trump	8	1	my duty
Trump	9	1	my election
Trump	10	1	my entire
Trump	11	1	my family
Trump	12	1	my fellow
Trump	13	1	my first
Trump	14	1	my friend
Trump	15	1	my god
Trump	16	1	my great
Trump	17	1	my honor
Trump	18	1	my ironclad
Trump	19	1	my late
Trump	20	1	my opinion
Trump	21	1	my parents
Trump	22	1	my promise
Trump	23	1	my sincere
Trump	24	1	my sisters
Trump	25	1	my top
Trump	26	1	my trip
