President	Rank	Freq	Cluster
Obama	1	15	this country
Obama	2	14	this year
Obama	3	13	this nation
Obama	4	8	this body
Obama	5	6	this crisis
Obama	6	6	this institution
Obama	7	6	this day
Obama	8	4	this election
Obama	9	4	this journey
Obama	10	3	this problem
Obama	11	3	this week
Obama	12	3	this assembly
Obama	13	2	this bill
Obama	14	2	this campaign
Obama	15	2	this city
Obama	16	2	this goal
Obama	17	2	this issue
Obama	18	2	this moment
Obama	19	2	this spirit
Obama	20	2	this victory
Obama	21	2	this war
Trump	1	5	this city
Trump	2	4	this country
Trump	3	4	this nation
Trump	4	4	this room
Trump	5	4	this capitol
Trump	6	3	this chamber
Trump	7	3	this hall
Trump	8	3	this moment
Trump	9	3	this podium
Trump	10	3	this year
Trump	11	2	this body
Trump	12	2	this day
Trump	13	2	this monument
Trump	14	2	this movement
Trump	15	2	this reason
Trump	16	2	this region
